project_id,company_id,project_name,start_date,completion_date,project_status,automation_type,robots_deployed,budget_usd,annual_savings_usd,roi_percent,department,implementation_partner,country,industry,employee_hours_saved,ai_enabled,cloud_deployment
PRJ001900,CMP07739,Aurora Platform,2016-07-13,2016-10-13,Completed,Customer Onboarding,19,4957632,7515770,151.6,Human Resources,Infosys,Philippines,Insurance,156428,No,Yes
PRJ041027,CMP05664,Delta Digital Transformation,2018-07-08,,Active,Claims Processing,126,2803227,3159237,112.7,Supply Chain,Wipro,Germany,Telecommunications,143869,No,Yes
PRJ026412,CMP05054,Vector Automation Initiative,2025-04-18,,Cancelled,HR Automation,56,1904913,3346932,175.7,Risk Management,Cognizant,France,Retail & E-Commerce,199009,No,Yes
PRJ034782,CMP01628,Aurora Optimization Program,2021-12-28,2023-02-28,Cancelled,Email Automation,105,4027963,11890547,295.2,Procurement,Cyient,Japan,Healthcare,7522,No,No
PRJ015029,CMP04224,Atlas Digital Transformation,2022-02-02,2023-09-02,Completed,Claims Processing,130,2672267,3666350,137.2,Procurement,Hexaware,Japan,Retail & E-Commerce,151020,Yes,Yes
PRJ035315,CMP01857,Phoenix Workflow Engine,2019-05-03,2019-10-03,Completed,IT Service Management,171,863448,1977296,229.0,IT,TCS,United States,Pharma & Life Sciences,144836,No,No
PRJ034169,CMP03267,Phoenix Process Reengineering,2021-05-21,,Active,Claims Processing,98,2262864,2876100,127.1,Operations,PwC,United Kingdom,Transportation & Logistics,195025,Yes,No
PRJ015598,CMP03088,Phoenix Efficiency Project,2019-01-04,2020-10-04,Completed,Email Automation,149,1188888,1694165,142.5,Procurement,IBM,Canada,Education,176216,No,Yes
PRJ034594,CMP01669,Sigma Efficiency Project,2019-07-20,,Paused,Email Automation,3,1573273,3355791,213.3,Procurement,EY,Germany,Transportation & Logistics,65379,No,No
PRJ016489,CMP05586,Omega Automation Initiative,2019-10-12,,Failed,Data Entry Automation,182,2914165,0,-87.4,Content Moderation,TCS,Singapore,Manufacturing,96478,Yes,Yes
PRJ025526,CMP08975,Lambda Workflow Engine,2016-10-02,2018-03-02,Cancelled,HR Automation,86,4350235,4981019,114.5,Operations,Cognizant,UAE,Healthcare,140184,No,Yes
PRJ041320,CMP00299,Omega Modernization,2015-03-11,,Active,Financial Reporting,160,1986111,5024861,253.0,Human Resources,Tech Mahindra,Brazil,Education,122952,No,No
PRJ003605,CMP06496,Atlas Optimization Program,2021-07-26,,Active,Invoice Processing,31,2435940,3342110,137.2,Operations,Cyient,Canada,Insurance,133497,Yes,No
PRJ040823,CMP01142,Nexus Intelligence Suite,2021-04-23,,Active,Financial Reporting,37,893400,460101,51.5,Human Resources,HCL Technologies,Brazil,Telecommunications,136147,Yes,Yes
PRJ038879,CMP08024,Delta Workflow Engine,2018-02-02,,Active,Payroll Processing,176,3244518,4603971,141.9,Human Resources,Infosys,Netherlands,Insurance,116770,No,No
PRJ048203,CMP06149,Vector Process Reengineering,2021-05-18,,Active,Supply Chain,68,605261,1481074,244.7,Operations,HCL Technologies,United Kingdom,Telecommunications,108946,No,Yes
PRJ027642,CMP07357,Aurora Efficiency Project,2022-03-14,,Active,Payroll Processing,41,3859765,752654,19.5,Customer Service,Tech Mahindra,Japan,Banking & Finance,48719,No,Yes
PRJ007655,CMP01168,Sigma Process Reengineering,2021-03-19,,Paused,Data Entry Automation,161,146547,205459,140.2,Finance,IBM,Germany,Pharma & Life Sciences,58817,No,No
PRJ020588,CMP07161,Nexus Platform,2016-11-26,2018-03-26,Completed,Customer Onboarding,20,3467171,9732349,280.7,Supply Chain,Deloitte,United States,Telecommunications,163552,No,Yes
PRJ035793,CMP06153,Phoenix Process Reengineering,2023-07-11,,Paused,Email Automation,39,1109285,3042769,274.3,IT,Tech Mahindra,Vietnam,Mining & Metals,90145,No,No
PRJ037248,CMP05771,Aurora Optimization Program,2020-12-18,2021-08-18,Completed,Invoice Processing,62,260485,606149,232.7,Audit,Wipro,Malaysia,Retail & E-Commerce,109571,No,No
PRJ044460,CMP06628,Quantum Automation Initiative,2019-05-24,2019-08-24,Cancelled,Financial Reporting,10,1780204,3410871,191.6,Supply Chain,Tech Mahindra,United States,Mining & Metals,184901,Yes,Yes
PRJ034677,CMP07961,Zenith Modernization,2020-03-15,,Active,IT Service Management,63,1696207,2535829,149.5,Human Resources,Capgemini,Canada,Transportation & Logistics,60730,Yes,No
